01-00 ALABAMA                  50851     758   51609                    00000010
01-01 ALABAMA               NORTHERN VALLEY         .0893 3435  8735    00000020
01-02 ALABAMA               APPLACHIAN MOUNTAINS    .0974 3428  8633    00000030
01-03 ALABAMA               UPPER PLAINS            .1482 3332  8765    00000040
01-04 ALABAMA               EASTERN VALLEY          .0775 3335  8612    00000050
01-05 ALABAMA               PIEDMONT PLATEAU        .0970 3297  8573    00000060
01-06 ALABAMA               PRAIRIE                 .1495 3245  8693    00000070
01-07 ALABAMA               COASTAL PLAIN           .2852 3152  8658    00000080
01-08 ALABAMA               GULF                    .0559 3052  8792    00000090
02-00 ARIZONA                 113563     346  113909                    00000100
02-01 ARIZONA               NORTHWEST               .1168 3555 11375    00000110
02-02 ARIZONA               NORTH EAST              .3492 3558 11069    00000120
02-03 ARIZONA               NORTH CENTRAL           .0712 3453 11244    00000130
02-04 ARIZONA               EAST  CENTRAL           .0418 3376 11077    00000140
02-05 ARIZONA               SOUTH WEST              .0879 3325 11394    00000150
02-06 ARIZONA               SOUTH CENTRAL           .1286 3315 11191    00000160
02-07 ARIZONA               SOUTHEAST               .2045 3227 11052    00000170
03-00 ARKANSAS                 52175     929  053104                    00000180
03-01 ARKANSAS              NORTH WEST              .0901 3611  9368    00000190
03-02 ARKANSAS              NORTH CENTRAL           .1043 3591  9203    00000200
03-03 ARKANSAS              NORTH EAST              .1389 3591  9071    00000210
03-04 ARKANSAS              WEST  CENTRAL           .1266 3518  9378    00000220
03-05 ARKANSAS                    CENTRAL           .0987 3466  9258    00000230
03-06 ARKANSAS              EAST  CENTRAL           .1319 3476  9111    00000240
03-07 ARKANSAS              SOUTH WEST              .0952 3386  9374    00000250
03-08 ARKANSAS              SOUTH CENTRAL           .1258 3359  9270    00000260
03-09 ARKANSAS              SOUTH EAST              .0885 3373  9161    00000270
04-00 CALIFORNIA              156537    2156  158693                    00000280
04-01 CALIFORNIA      NORTH COAST DRAINAGE          .1358 4046 12327    00000290
04-02 CALIFORNIA      SACRAMENTO  DRAINAGE          .1706 3976 12160    00000300
04-03 CALIFORNIA      NORTHEAST   INTERIOR BASINS   .0422 4055 12019    00000310
04-04 CALIFORNIA      CENTRAL COAST DRAINAGE        .0667 3642 12130    00000320
04-05 CALIFORNIA      SAN JOAQUIN   DRAINAGE        .2087 3637 11983    00000330
04-06 CALIFORNIA      SOUTH COAST   DRAINAGE        .0884 3396 11826    00000340
04-07 CALIFORNIA      SOUTHEAST   DESERT   BASINS   .2876 3521 11655    00000350
05-00 COLORADO                103794     453  104247                    00000360
